Status usu?o;Data-base in?;Ordem;Nota;Tipo de ordem;Status sistema;Loc.instala?;TEXTO;Denomina?;Tipo ativid.PM;
MAOB;15/04/2018;21486529;11319355;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-40-01-01-03;SERVI? DE RECUPERA?O DE UMA MOTOBOMBA;TANQUE DE CONDESADO;110;UTILIDADES
MAOB;29/03/2018;21490722;11321256;ZM01;ENCE CAPC CAPF NOLQ SCDM;2015-80-03-01-01-01;REDPOST DESCALIBRADO 10100386;LABORAT?IO - ENVASE;115;OUTROS
MAOB;29/03/2018;21490726;11321270;ZM01;ENCE CAPC NOLQ SCDM;2015-80-03-01-01-01;REDPOST DESCALIBRADO 10100387;LABORAT?IO - ENVASE;120;OUTROS
DISM PROG;31/03/2018;21538844;11376441;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-80-02-01;DAR BAIXA BATERIA DO NOBREAK COM DEFEITO;OFICINA APOIO ENVASAMENTO;110;OUTROS
DISM PROG;01/04/2018;21547829;11377794;ZM01;ENCE CONF CAPC CAPF IMPA MOME MatC NOLQ;2015-00-04-01-03-01;BOMBA DE TRASFEGA TRAVADA.;TANCAGEM MATURA?O 01;120;PROCESSO
DISM PROG;01/04/2018;21548348;11378413;ZM01;ENCE CONF IMPR CAPC CAPF NOLQ;2015-30-31-01-10-01;REATOR COM FALHA DE N?EL ALTO;DOSAGEM DE PRODUTO TRATAMENTO DE AGUA 1;120;ETA
MATE;15/07/2018;21549900;11379352;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-20-01-09-01;REALIZAR TESTE NO SERVOMOTOR DA ESTRELA;ENCHEDORA - K136690;110;LINHA 02 - VIDRO
MAOB;11/04/2018;21557606;11385706;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-40-01-02-01;ETQ-01 ESCADA MARINHEIRO DA CALDEIRA 01;CALDEIRA DE VAPOR GV-01;110;UTILIDADES
MAOB;21/04/2018;21560156;11387452;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-40-01-01-03;Servi?de manuten? em v?ulas das bo;TANQUE DE CONDESADO;110;UTILIDADES
DISM PROG;21/05/2018;21597531;11420162;ZM01;ENCE CAPC MOME MatC NOLQ;2015-80-01-01;FALTA DE EXTENSÏ DE TOMADA NA OFICINA D;OFICINA CENTRAL;110;OUTROS
MAOB;18/07/2018;21670873;11483688;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-30-30-01-05-03;instala? de alarme sonoro para indica?OCO 03 - ITM;110;ETA;
MAOB;24/07/2018;21673977;11485631;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-30-30-01-05-02;TRANSMISSOR DE VAZÏ NÏ APRESENTA VALOR;POCO 02 - ITM;120;ETA
MAOB;24/07/2018;21674041;11485633;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-30-30-01-05-06;TRANSMISSOR DE N?EL COM VALOR TRAVADO E;POCO 06 - ITM;120;ETA
MAOB;04/09/2018;21735482;11539567;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-30-32-01-01-02;VAZAMENTO DE AGUA TRATADA PELA VALVULA D;TANQUE DE AGUA FILTRADA;115;ETA
DISM PROG;18/02/2019;21735845;11539764;ZM01;ENCE CONF CAPC IMPA MOME MatC NOLQ;2015-70-72-01-13-01;DAR BAIXA FALHA DA BOMBA BC-13 DO SISTEM;DECANTADOR;110;ETDI
DISM PROG;10/10/2018;21778458;11576432;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-20-01-23-01;garrafas mal arrolhadas e sem tampa.;ARROLHADOR;110;LINHA 02 - VIDRO
MAOB;20/10/2018;21782245;11579230;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-80-02;BATERIA COM DEFEITO;MANUTEN?O APOIO ENVASAMENTO;110;OUTROS
MAOB;14/01/2019;21783397;11580051;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-21-01-29-02;INSTALAR VIBRADOR NO TRECHO AP? O TWIST;TRANSPORTE RINSER - ECH;110;LINHA 01 - LATA
DISM PROG;20/11/2018;21800249;11595967;ZM01;ENCE CONF IMPR CAPC MATF MOME NOLQ;2015-00-02-01-04-02;SUBSTITUIR ROLAMENTOS DO MOINHO 2;MOINHO DE ROLOS 02;110;PROCESSO
MAOB;31/10/2018;21810121;11604840;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-30-30-01-05-07;VAZ.FLANGE DE RECALQ BOMBA REC 02 PO? 7;POCO 07 - ITM;110;ETA
MAOB;30/11/2018;21811347;11605828;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-70-71-01-09-01;INSTALAR TUBULA?O DE DOSAGEM POR CIMA D;TQ EQUALIZACAO IND. PRESSAO AGUA BRUTA;110;OUTROS
DISM PROG;15/04/2019;21819779;11612261;ZM01;ENCE CONF IMPR CAPC MOME NOLQ;2015-20-22-01;INST. VALV COLETA DE SODA E ACIDO TQ DE;ENVASAMENTO DE BARRIS LINHA 01;110;ENVASE CHOP
MAOB;17/11/2018;21820061;11612290;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-04-01-02-01;BOMBA DE CIP 07 DO RECALQUE APRESENTA RO;CIP CROSSFLOW;110;PROCESSO
MAOB;19/11/2018;21824882;11616732;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-41-01-05;BOMBA DE LOOP 02 APRESENTANDO DESARME ES;CONDENSACAO;120;UTILIDADES
DISM PROG;21/11/2018;21825831;11617408;ZM01;ENCE CONF IMPR CAPC DNAT MOME NOLQ;2015-30-32-01-01-01;ANOMALIA: COMBA CENTR?UGA DC 02 DO TANQ;TANQUE DE AGUA BRUTA;120;ETA
MAOB;22/11/2018;21828395;11624785;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-00-02-01-04-01;TRANSMISSOR ULTRASONICO DO MOINHO 1 NÏ;MOINHO DE ROLOS 01;110;PROCESSO
MAOB;22/11/2018;21833756;11625099;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-40-43-01-07;MANGUEIRA DE AR PRINCIPAL DANFICADA;SECAGEM - PURIFICACAO;110;UTILIDADES
MAOB;07/01/2019;21833816;11625156;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-21-01-01-01;Falha na centragem traseira ,cilindro pn;DESPALETIZADORA LATAS;110;LINHA 01 - LATA
MAOB;23/11/2018;21844601;11635826;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-30-30-01-05-07;BOMBA DE LAVAGEM DE AR 01 DA TORRE DE DE;POCO 07 - ITM;120;ETA
DISM PROG;27/11/2018;21845717;11636607;ZM01;ENCE CONF IMPR CAPC DNAT MOME NOLQ;2015-20-20-01-18-01;REPOSI?O DE ITENS DA CORRENTE DE SINCRO;EMPACOTADORA - KR96560;110;LINHA 02 - VIDRO
MATE;27/11/2018;21846635;11637595;ZM01;ENCE CONF CAPC MATF MOME NOLQ;2015-00-02-01-04-01;SUBT ROLAMENTO DA CARAMBOLA SUP;MOINHO DE ROLOS 01;110;PROCESSO
MAOB;28/11/2018;21856798;11647431;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-00-02-01-04-01;RETENTOR DA CAMARA DE MOLHA DANIFICADO;MOINHO DE ROLOS 01;110;PROCESSO
MAOB;27/11/2018;21857094;11647663;ZM01;ENCE CONF CAPC MATF MOME NOLQ;2015-00-02-01-04-01;MOINHO COM BAIXO RENDIMENTO DE MOAGEM;MOINHO DE ROLOS 01;115;PROCESSO
MAOB;06/12/2018;21861016;11650578;ZM01;ENCE CONF CAPC MatC NOLQ;2015-20-20-01-03-01;VAZAMENTO DE AGUA NA VALVULA DE ENCHIMEN;LAVADORA DE GARRAFAS - K682379;110;LINHA 02 - VIDRO
MAOB;10/12/2018;21863517;11652290;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-05-01-03-02;FALHA NO CIP DA LINHA 5 (FILTRA?O);GUA DESAERADA 01;120;PROCESSO
DISM PROG;11/12/2018;21864271;11652793;ZM01;ENCE CAPC IMPA MOME NOLQ;2015-80-01;DAR BAIXA Subs bateria nobreak;MANUTEN?O CENTRAL;110;OUTROS
MAOB;12/12/2018;21864327;11652826;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-40-43-01-09-04;RC - RECUPERAR PLACA DO COMPRESSOR SIAD;COMPRESSOR DE CO2 04;115;UTILIDADES
DISM PROG;05/12/2018;21865714;11653908;ZM01;ENCE CONF IMPR CAPC DNAT NOLQ SCDM;2015-40-45-01-03-14;ANOMALIA: CONTAMINA?O DO ?EO ISOLANTE;TRANSFORMADOR 07 13,8/4,16KV 1,5MVA;120;UTILIDADES
MAOB;14/12/2018;21866820;11654828;ZM01;ENCE CAPC MATF NOLQ;2015-20-21-01-09-01;VAZAMENTO DE PRODUTO PELA TUBULA?O DE E;ENCHEDORA LATAS;110;LINHA 01 - LATA
DISM PROG;15/12/2018;21866852;11654857;ZM01;ENCE CONF IMPR CAPC NOLQ SCDM;2015-20-20-02-03-01;DESEMPENAR BENGALAS DOS PENTES;LAVADORA DE GARRAFAS - K682-521;110;LINHA 04 - VIDRO
MAOB;15/12/2018;21869507;11657242;ZM01;ENCE CONF CAPC MOME NOLQ;2015-20-21-02-09-07;SENSOR FLADDAR DANIFICADO;ENTRADA DA ENCHEDORA;115;LINHA 03 - LATA
MAOB;17/12/2018;21874900;11662023;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-36-05;FALHA NA ETIQUETADORA;ETIQUETADORA  BORNBINDER - FR18270507;120;LINHA 04 - VIDRO
MAOB;28/12/2018;21875868;11662596;ZM01;ENCE CONF CAPC MOME NOLQ;2015-20-21-01-29-03;folga no rolamento do trp de saida do tw;TRANSPORTE ECH-PZ;110;LINHA 01 - LATA
DISM PROG;22/12/2018;21875954;11662635;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-20-01-29-15;CORRENTE DANIFICADA MESA TRP - ECH-PZ;TRANSPORTE ECH-PZ;110;LINHA 02 - VIDRO
MAOB;19/12/2018;21875974;11662681;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-22-01-09-01;revisar barris;ENCHEDORA DE BARRIS;110;ENVASE CHOP
DISM PROG;08/01/2019;21876427;11662909;ZM01;ENCE CONF CAPC DNAT IMPA MOME NOLQ;2015-00-01-01-02-02;NR35:INSTALAR MOTOR/INVERSOR AF03;DESPEDRADEIRAS;115;PROCESSO
DISM PROG;21/12/2018;21876651;11663097;ZM01;ENCE CONF IMPR CAPC MATF MOME NOLQ;2015-00-04-01-16;ETQ902:BOMBA DO MODULO 3/4 VAZAMENTO SEL;SISTEMA CROSS FLOW;110;PROCESSO
MATE;22/07/2019;21879109;11665335;ZM01;ENCE CONF CAPC IMPA MOME MatC NOLQ;2015-20-20-01-12-01;ESTRELA DE SAIDA COM PASTILHAS DESGASTAD;ROTULADORA I - K406194;110;LINHA 02 - VIDRO
DISM PROG;22/12/2018;21879115;11665581;ZM01;ENCE CONF IMPR CAPC NOLQ SCDM;2015-20-20-01-09-01;ROLAMENTO DANIFICADO TRP SAIDA FU2.4101-;ENCHEDORA - K136690;110;LINHA 02 - VIDRO
DISM PROG;26/12/2018;21879587;11665791;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-20-01-09-01;SONDA DE N?EL DA BOMBA DE VCUO COM DEF;ENCHEDORA - K136690;110;LINHA 02 - VIDRO
DISM PROG;22/12/2018;21879590;11665798;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-20-01-03-01;MOTOR  DA BOMBA DE ESGUICHO DO TANQUE DE;LAVADORA DE GARRAFAS - K682379;120;LINHA 02 - VIDRO
MAOB;23/12/2018;21883857;11669996;ZM01;ENCE CONF CAPC MOME NOLQ;2015-20-20-01-05-01;quebra da garra;INSPETOR TOPTRONIC - K719610;115;LINHA 02 - VIDRO
DISM PROG;23/12/2018;21883890;11669917;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-20-01-28-01;Esteiras Descarrilhando;TRANSPORTE DPL-DCX;120;LINHA 02 - VIDRO
MAOB;22/12/2018;21883922;11669986;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-11;FALHA NA BARREIRA DE LUZ;TRANSPORTE SAIDA TAXO III-MESA ACUMULO;115;LINHA 01 - LATA
MAOB;25/12/2018;21884593;11670386;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-09-01;SENSOR DE ACUMULA?O DA SAIDA DESATIVADO;ENCHEDORA DE LATAS - K232-139;110;LINHA 03 - LATA
MAOB;25/12/2018;21884650;11670426;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-19-02;QUEBRA DO BOTÏ DE PARADA DE EMERGENCIA;ENCAIXOTADORA GRF BICADAS - KR66255;120;LINHA 02 - VIDRO
MAOB;26/12/2018;21884946;11670581;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-22-01;DESGASTES NAS VEDA?ES DOS BARRIS;ENVASAMENTO DE BARRIS LINHA 01;110;ENVASE CHOP
MAOB;26/12/2018;21893323;11678828;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-01;Cilindro pneum?co da chapa divisoria d;PALETIZADOR I;110;LINHA 01 - LATA
MAOB;26/12/2018;21893324;11678829;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-01;Realizar servi?de solda na haste do ci;PALETIZADOR I;110;LINHA 01 - LATA
MAOB;26/12/2018;21893358;11678856;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-02;SEM COMUNICA?O NO SUPERVISORIO;SALAS FABRICA?O;110;PROCESSO
MAOB;26/12/2018;21893359;11678857;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-04-01-16;FALHA NA PRODU?O DO CROSS FLOW;SISTEMA CROSS FLOW;120;PROCESSO
MAOB;15/04/2019;21893370;11678953;ZM01;ENCE CONF CAPC IMPA MOME MatC NOLQ;2015-20-20-01-20-01;FALHA NA CHAVE DE SEGURAN? DA PORTA 120;PALETIZADORA - KR63754;120;LINHA 02 - VIDRO
MAOB;27/12/2018;21893506;11678923;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-06-03;FALHA NA INSPE?O DE N?EL CHECKMAT II;CHECKMAT TAXOMATIC II;120;LINHA 01 - LATA
MAOB;27/12/2018;21896036;11681304;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-02;LENTIDÏ NO SUPERVISORIO;SALAS FABRICA?O;120;PROCESSO
MAOB;27/12/2018;21896408;11681486;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-40-43-01-09-04;ANOMALIA: COMPRESSOR DE CO2 04 (SIAD) AP;COMPRESSOR DE CO2 04;115;UTILIDADES
MAOB;29/12/2018;21896441;11681428;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-43-01-09-04;BAIXA VAZÏ DE COMPRESSÏ DO 2 STG DO C;COMPRESSOR DE CO2 04;110;UTILIDADES
MAOB;29/12/2018;21897696;11682533;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-21-01-20-01;FALHA NO EIXO Z ( M?ULO COMPACTO );PALETIZADOR I;115;LINHA 01 - LATA
MAOB;31/12/2018;21898354;11682922;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-43-01-09-04;VLVULA DE DESCARGA DO VASO SEPARADOR DE;COMPRESSOR DE CO2 04;120;UTILIDADES
MAOB;31/12/2018;21898357;11682925;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-43-01-09-03;COMPRESSOR DE CO2 3 DESARMANDO NO MOMENT;COMPRESSOR DE CO2 03;120;UTILIDADES
MAOB;31/12/2019;21898403;11682866;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05-02;FALHA NA REJEI?O DE GARRAFAS POR COR;INSPETOR LINATRONIC - K735-H46;120;LINHA 04 - VIDRO
MAOB;31/12/2018;21898407;11682911;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-03-01;Esteira com elos empenados mesa de carga;LAVADORA DE GARRAFAS - K682-521;120;LINHA 04 - VIDRO
MAOB;01/01/2019;21898457;11683132;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-43-01-07-04;RESISTENCIA DO PURIFICADOR EM FALHA;PURIFICA?O BENEFICIAMENTO CO2 02;110;UTILIDADES
MAOB;01/01/2019;21898459;11683134;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-02-01-03-04-01;MISTURADOR DO TANQUE EM FALHA;TANQUE DE CARAMELO;120;PROCESSO
MAOB;01/01/2019;21899004;11683107;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-43-01-07-04;PURIFICADOR DE CO2 02 APRESENTANDO DESLI;PURIFICA?O BENEFICIAMENTO CO2 02;120;UTILIDADES
MAOB;02/01/2019;21899040;11683136;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-03-01;FALHA NA ENTREGA DE GARRAFAS NA ADMISSÏ;LAVADORA DE GARRAFAS - K682379;120;LINHA 02 - VIDRO
MAOB;31/12/2018;21899083;11683176;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-00-04-01-15-01;BOMBA DE DOSAGEM DE S?ICA APRESENTANDO;PROPAGA?O DA MATURA?O;120;PROCESSO
MAOB;02/01/2019;21900941;11684761;ZM01;ENCE CONF CAPC MatC NOLQ;2015-20-20-02-11;ESTEIRA DE ENTRADA DO PZ TREPIDANDO;PASTEURIZA?O;115;LINHA 04 - VIDRO
DISM PROG;02/01/2019;21901456;11685563;ZM01;ENCE CONF IMPR CAPC DNAT NOLQ SCDM;2015-40-41-01-05-10;MOTOR 01 COM HELICE DANIFICADA E COM ROL;CONDENSACAO GERACAO DE FRIO 10;110;UTILIDADES
DISM PROG;03/01/2019;21901479;11685633;ZM01;ENCE CONF CAPC DNAT IMPA MOME NOLQ;2015-40-43-01-09-01;ALTA PRESSÏ NO 1 E 2 ESTGIO DO COMPR;COMPRESSOR DE CO2 01;120;UTILIDADES
MAOB;02/01/2019;21901511;11685607;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-01-01;latas caindo da ltima camada;DESPALETIZADORA LATAS;115;LINHA 01 - LATA
MAOB;02/01/2019;21901512;11685608;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20-01-01-01;Travamento do devider;DIVIDER;115;LINHA 02 - VIDRO
MAOB;02/01/2019;21901514;11685640;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20-01-02-32;Colis?das garras do cabe?e;MESA DE AGRUPAMENTO;115;LINHA 02 - VIDRO
MAOB;02/01/2019;21901516;11685642;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-02-01;tombamento de garrafas na mesa;DESENCAIXOTADORA - KR66253;115;LINHA 02 - VIDRO
MAOB;02/01/2019;21901517;11685643;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-12-01;queda de r??o de corpo e colarinho;ROTULADORA I - K406194;115;LINHA 02 - VIDRO
MAOB;02/01/2019;21901518;11685644;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-01;GUIA LATERAL DO TRANSPORTE EREO TBB18 F;DESPALETIZA?O;120;LINHA 03 - LATA
MAOB;02/01/2019;21901702;11685645;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-23-01;RECRAVADORA DANDO CRECHE CONTINUO;RECRAVADORA - K826-2B3;115;LINHA 03 - LATA
DISM PROG;02/01/2019;21901768;11686030;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-20-01-05-01;Correia trapezoidal quebrada;INSPETOR TOPTRONIC - K719610;110;LINHA 02 - VIDRO
MAOB;02/01/2019;21901908;11685827;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-05-01-06-01;FALHA NA VALVULA DE DRENO FILTRO 1;FILTRA?O - FILTRO KG 01;120;PROCESSO
MAOB;03/01/2019;21901983;11686021;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-05;BLOQUEADOR DE CAIXA TRAVANDO;TRANSPORTE ECX-PL;120;LINHA 04 - VIDRO
MAOB;03/01/2019;21901985;11686023;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-02;CILINDRO DE COLA TRAVADO;TAXOMATIC II - K084161;120;LINHA 03 - LATA
MAOB;03/01/2019;21901987;11686025;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-03;CILINDRO DE COLA TRAVADO;TAXOMATIC III - K084162;120;LINHA 03 - LATA
MAOB;03/01/2019;21901988;11686026;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-12-01;CILINDRO DE COLA TRAVADO;ROTULADORA I - K407-509;120;LINHA 04 - VIDRO
MAOB;03/01/2019;21901995;11686075;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-06-03;FALHA NO Ctrl DE ESTANQUEIDADE.;CHECKMAT ROTULADORA II - K731V42;120;LINHA 02 - VIDRO
MAOB;02/01/2019;21902013;11686014;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-01;ESTRELA DE ENTRADA FORA DE SINCRONISMO.;INSPETOR TOPTRONIC - K719610;115;LINHA 02 - VIDRO
MAOB;02/01/2019;21902014;11686015;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-03-01-01;ESTEIRA COM ELO EMPENADO;ENTRADA DA LAVADORA;115;LINHA 04 - VIDRO
MAOB;03/01/2019;21902043;11686080;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-05-01;ESTRELA BLOQUEADORA DE LATA DESATIVADA;CANTRONIC 01 - K709325;120;LINHA 03 - LATA
MAOB;03/01/2019;21902044;11686081;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-05-02;ESTRELA BLOQUEADORA DE LATA DESATIVADA;CANTRONIC 02 - K709326;120;LINHA 03 - LATA
MAOB;03/01/2019;21902045;11686082;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-18-01;CAIXAS DESCOLADAS;EMPACOTADORA - KR96560;120;LINHA 02 - VIDRO
MAOB;03/01/2019;21902048;11686088;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-05-01;quebra do vidro de inspe? de fundo;INSPETOR TOPTRONIC - K719610;115;LINHA 02 - VIDRO
MAOB;03/01/2019;21902245;11686115;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05-01;FALHA NA AINSPE?O DE OLEO.;INSPETOR LINATRONIC - K735-H45;120;LINHA 04 - VIDRO
DISM PROG;03/01/2019;21902255;11686351;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-21-01-12-01;Revestimento do prato solto;SELADORA I;110;LINHA 01 - LATA
MAOB;06/01/2019;21902276;11686152;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-21-01-12-01;COIFA DO ACIONAMENTO DO SEM FIM SOLTA.;SELADORA I;110;LINHA 01 - LATA
MAOB;03/01/2019;21902294;11686221;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-36-03;IMPRESSÏ BORADA.;DATADOR - TAXOMATIC 03;120;LINHA 03 - LATA
MAOB;03/01/2019;21902296;11686223;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-09-01;FALHA NO SICRONISMO POR VOLTA.;ENCHEDORA LATAS;110;LINHA 01 - LATA
MAOB;03/01/2019;21902328;11686238;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-01;Lubrifica? deficiente;TRANSPORTE DPL-DCX;120;LINHA 04 - VIDRO
MAOB;03/01/2019;21902330;11686240;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-02;Queda de selo agregado 01;TAXOMATIC II - K084161;115;LINHA 03 - LATA
MAOB;03/01/2019;21902331;11686241;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-05;Queda do guia lateral do trp G2816;TRANSPORTE ECX-PL;120;LINHA 02 - VIDRO
MAOB;03/01/2019;21902342;11686213;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-11-01;VAZAMENTO DE VAPOR NA TUBULA?O GERAL DO;PASTEURIZADOR;110;LINHA 01 - LATA
MAOB;05/01/2019;21902344;11686218;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-27-01;TRAVAMENTO DA CORRENTE DOTRP DE PALETES.;TRANSPORTE DE PALETES;110;LINHA 04 - VIDRO
